GEONR;GEONAME;CLASS_HAB;VARIABLE;VALUE;STATUS
4671;Kreuzlingen;4;depc_spo;6299;A
4671;Kreuzlingen;4;depc_egl;0;A
4671;Kreuzlingen;4;depic_t;2129;A
4671;Kreuzlingen;4;depic_pat_cul;550;A
4671;Kreuzlingen;4;depic_cula;0;A
4671;Kreuzlingen;4;depic_med;0;A
4671;Kreuzlingen;4;depic_spo;1579;A
4671;Kreuzlingen;4;depic_egl;0;A
1059;Kriens;4;depc_t;13872;A
1059;Kriens;4;depc_pat_cul;330;A
1059;Kriens;4;depc_cula;705;A
1059;Kriens;4;depc_med;152;A
1059;Kriens;4;depc_spo;12685;A
1059;Kriens;4;depc_egl;0;A
1059;Kriens;4;depic_t;9799;A
1059;Kriens;4;depic_pat_cul;0;A
1059;Kriens;4;depic_cula;0;A
1059;Kriens;4;depic_med;0;A
1059;Kriens;4;depic_spo;9799;A
1059;Kriens;4;depic_egl;0;A
6421;La Chaux-de-Fonds;4;depc_t;22601;A
6421;La Chaux-de-Fonds;4;depc_pat_cul;5995;A
6421;La Chaux-de-Fonds;4;depc_cula;8009;A
6421;La Chaux-de-Fonds;4;depc_med;21;A
6421;La Chaux-de-Fonds;4;depc_spo;8501;A
6421;La Chaux-de-Fonds;4;depc_egl;76;A
6421;La Chaux-de-Fonds;4;depic_t;3026;A
6421;La Chaux-de-Fonds;4;depic_pat_cul;665;A
6421;La Chaux-de-Fonds;4;depic_cula;504;A
6421;La Chaux-de-Fonds;4;depic_med;0;A
6421;La Chaux-de-Fonds;4;depic_spo;1857;A
6421;La Chaux-de-Fonds;4;depic_egl;0;A
6628;Lancy;4;depc_t;24136;A
6628;Lancy;4;depc_pat_cul;1049;A
6628;Lancy;4;depc_cula;2832;A
6628;Lancy;4;depc_med;336;A
6628;Lancy;4;depc_spo;19920;A
6628;Lancy;4;depc_egl;0;A
6628;Lancy;4;depic_t;6750;A
6628;Lancy;4;depic_pat_cul;127;A
6628;Lancy;4;depic_cula;68;A
6628;Lancy;4;depic_med;0;A
6628;Lancy;4;depic_spo;6555;A
6628;Lancy;4;depic_egl;0;A
6630;Meyrin;4;depc_t;26788;A
6630;Meyrin;4;depc_pat_cul;711;A
6630;Meyrin;4;depc_cula;6792;A
6630;Meyrin;4;depc_med;545;A
6630;Meyrin;4;depc_spo;18741;A
6630;Meyrin;4;depc_egl;0;A
6630;Meyrin;4;depic_t;3458;A
6630;Meyrin;4;depic_pat_cul;54;A
6630;Meyrin;4;depic_cula;340;A
6630;Meyrin;4;depic_med;45;A
6630;Meyrin;4;depic_spo;3019;A
6630;Meyrin;4;depic_egl;0;A
5886;Montreux;4;depc_t;24928;A
5886;Montreux;4;depc_pat_cul;85;A
5886;Montreux;4;depc_cula;8740;A
5886;Montreux;4;depc_med;0;A
5886;Montreux;4;depc_spo;15349;A
5886;Montreux;4;depc_egl;754;A
5886;Montreux;4;depic_t;4248;A
5886;Montreux;4;depic_pat_cul;0;A
5886;Montreux;4;depic_cula;927;A
5886;Montreux;4;depic_med;0;A
5886;Montreux;4;depic_spo;3285;A
5886;Montreux;4;depic_egl;36;A
6458;Neuchâtel;4;depc_t;43448;A
6458;Neuchâtel;4;depc_pat_cul;12347;A
6458;Neuchâtel;4;depc_cula;10338;A
6458;Neuchâtel;4;depc_med;390;A
6458;Neuchâtel;4;depc_spo;19786;A
6458;Neuchâtel;4;depc_egl;586;A
6458;Neuchâtel;4;depic_t;5183;A
6458;Neuchâtel;4;depic_pat_cul;3101;A
6458;Neuchâtel;4;depic_cula;88;A
6458;Neuchâtel;4;depic_med;0;A
6458;Neuchâtel;4;depic_spo;1994;A
6458;Neuchâtel;4;depic_egl;0;A
5724;Nyon;4;depc_t;21056;A
5724;Nyon;4;depc_pat_cul;3809;A
5724;Nyon;4;depc_cula;3189;A
5724;Nyon;4;depc_med;360;A
5724;Nyon;4;depc_spo;13535;A
5724;Nyon;4;depc_egl;163;A
5724;Nyon;4;depic_t;4324;A
5724;Nyon;4;depic_pat_cul;437;A
5724;Nyon;4;depic_cula;0;A
5724;Nyon;4;depic_med;0;A
5724;Nyon;4;depic_spo;3887;A
5724;Nyon;4;depic_egl;0;A
66;Opfikon;4;depc_t;6743;A
66;Opfikon;4;depc_pat_cul;0;A
66;Opfikon;4;depc_cula;776;A
66;Opfikon;4;depc_med;0;A
66;Opfikon;4;depc_spo;5966;A
66;Opfikon;4;depc_egl;0;A
66;Opfikon;4;depic_t;2617;A
66;Opfikon;4;depic_pat_cul;0;A
66;Opfikon;4;depic_cula;0;A
66;Opfikon;4;depic_med;0;A
66;Opfikon;4;depic_spo;2617;A
66;Opfikon;4;depic_egl;0;A
3340;Rapperswil-Jona;4;depc_t;14689;A
3340;Rapperswil-Jona;4;depc_pat_cul;745;A
3340;Rapperswil-Jona;4;depc_cula;2645;A
3340;Rapperswil-Jona;4;depc_med;12;A
3340;Rapperswil-Jona;4;depc_spo;11288;A
3340;Rapperswil-Jona;4;depc_egl;0;A
3340;Rapperswil-Jona;4;depic_t;5693;A
3340;Rapperswil-Jona;4;depic_pat_cul;145;A
3340;Rapperswil-Jona;4;depic_cula;433;A
3340;Rapperswil-Jona;4;depic_med;0;A
3340;Rapperswil-Jona;4;depic_spo;5115;A
3340;Rapperswil-Jona;4;depic_egl;0;A
5591;Renens (VD);4;depc_t;8542;A
5591;Renens (VD);4;depc_pat_cul;0;A
5591;Renens (VD);4;depc_cula;3546;A
5591;Renens (VD);4;depc_med;111;A
5591;Renens (VD);4;depc_spo;4588;A
5591;Renens (VD);4;depc_egl;297;A
5591;Renens (VD);4;depic_t;76;A
5591;Renens (VD);4;depic_pat_cul;0;A
5591;Renens (VD);4;depic_cula;0;A
5591;Renens (VD);4;depic_med;0;A
5591;Renens (VD);4;depic_spo;76;A
5591;Renens (VD);4;depic_egl;0;A
2703;Riehen;4;depc_t;13106;A
2703;Riehen;4;depc_pat_cul;1722;A
2703;Riehen;4;depc_cula;2608;A
