GEONAME;VARIABLE;VALUE
Dübendorf;depc_med;25.0
Dübendorf;depc_spo;3567.0
Dübendorf;depc_egl;73.0
Dübendorf;depic_t;436.0
Dübendorf;depic_pat_cul;0.0
Dübendorf;depic_cula;82.0
Dübendorf;depic_med;0.0
Dübendorf;depic_spo;354.0
Dübendorf;depic_egl;0.0
Emmen;depc_t;4327.0
Emmen;depc_pat_cul;152.0
Emmen;depc_cula;803.0
Emmen;depc_med;52.0
Emmen;depc_spo;3321.0
Emmen;depc_egl;0.0
Emmen;depic_t;92.0
Emmen;depic_pat_cul;0.0
Emmen;depic_cula;-19.0
Emmen;depic_med;0.0
Emmen;depic_spo;111.0
Emmen;depic_egl;0.0
Frauenfeld;depc_t;8497.0
Frauenfeld;depc_pat_cul;67.0
Frauenfeld;depc_cula;2198.0
Frauenfeld;depc_med;20.0
Frauenfeld;depc_spo;6212.0
Frauenfeld;depc_egl;0.0
Frauenfeld;depic_t;890.0
Frauenfeld;depic_pat_cul;0.0
Frauenfeld;depic_cula;49.0
Frauenfeld;depic_med;0.0
Frauenfeld;depic_spo;841.0
Frauenfeld;depic_egl;0.0
Fribourg;depc_t;13981.0
Fribourg;depc_pat_cul;46.0
Fribourg;depc_cula;3938.0
Fribourg;depc_med;216.0
Fribourg;depc_spo;9782.0
Fribourg;depc_egl;0.0
Fribourg;depic_t;1251.0
Fribourg;depic_pat_cul;0.0
Fribourg;depic_cula;0.0
Fribourg;depic_med;0.0
Fribourg;depic_spo;1251.0
Fribourg;depic_egl;0.0
Horgen;depc_t;5558.0
Horgen;depc_pat_cul;66.0
Horgen;depc_cula;1000.0
Horgen;depc_med;0.0
Horgen;depc_spo;4493.0
Horgen;depc_egl;0.0
Horgen;depic_t;1617.0
Horgen;depic_pat_cul;0.0
Horgen;depic_cula;0.0
Horgen;depic_med;0.0
Horgen;depic_spo;1617.0
Horgen;depic_egl;0.0
Kloten;depc_t;11299.0
Kloten;depc_pat_cul;0.0
Kloten;depc_cula;1001.0
Kloten;depc_med;0.0
Kloten;depc_spo;10298.0
Kloten;depc_egl;0.0
Kloten;depic_t;2423.0
Kloten;depic_pat_cul;0.0
Kloten;depic_cula;0.0
Kloten;depic_med;0.0
Kloten;depic_spo;2423.0
Kloten;depic_egl;0.0
Köniz;depc_t;6781.0
Köniz;depc_pat_cul;45.0
Köniz;depc_cula;2867.0
Köniz;depc_med;420.0
Köniz;depc_spo;3449.0
Köniz;depc_egl;1.0
Köniz;depic_t;504.0
Köniz;depic_pat_cul;0.0
Köniz;depic_cula;0.0
Köniz;depic_med;0.0
Köniz;depic_spo;504.0
Köniz;depic_egl;0.0
Kreuzlingen;depc_t;8881.0
Kreuzlingen;depc_pat_cul;1034.0
Kreuzlingen;depc_cula;1548.0
Kreuzlingen;depc_med;0.0
Kreuzlingen;depc_spo;6299.0
Kreuzlingen;depc_egl;0.0
Kreuzlingen;depic_t;2129.0
Kreuzlingen;depic_pat_cul;550.0
Kreuzlingen;depic_cula;0.0
Kreuzlingen;depic_med;0.0
Kreuzlingen;depic_spo;1579.0
Kreuzlingen;depic_egl;0.0
Kriens;depc_t;13872.0
Kriens;depc_pat_cul;330.0
Kriens;depc_cula;705.0
Kriens;depc_med;152.0
Kriens;depc_spo;12685.0
Kriens;depc_egl;0.0
Kriens;depic_t;9799.0
Kriens;depic_pat_cul;0.0
Kriens;depic_cula;0.0
Kriens;depic_med;0.0
Kriens;depic_spo;9799.0
Kriens;depic_egl;0.0
La Chaux-de-Fonds;depc_t;22601.0
La Chaux-de-Fonds;depc_pat_cul;5995.0
La Chaux-de-Fonds;depc_cula;8009.0
La Chaux-de-Fonds;depc_med;21.0
La Chaux-de-Fonds;depc_spo;8501.0
La Chaux-de-Fonds;depc_egl;76.0
La Chaux-de-Fonds;depic_t;3026.0
La Chaux-de-Fonds;depic_pat_cul;665.0
La Chaux-de-Fonds;depic_cula;504.0
La Chaux-de-Fonds;depic_med;0.0
La Chaux-de-Fonds;depic_spo;1857.0
La Chaux-de-Fonds;depic_egl;0.0
Lancy;depc_t;24136.0
Lancy;depc_pat_cul;1049.0
Lancy;depc_cula;2832.0
Lancy;depc_med;336.0
Lancy;depc_spo;19920.0
Lancy;depc_egl;0.0
Lancy;depic_t;6750.0
Lancy;depic_pat_cul;127.0
Lancy;depic_cula;68.0
Lancy;depic_med;0.0
Lancy;depic_spo;6555.0
Lancy;depic_egl;0.0
Meyrin;depc_t;26788.0
Meyrin;depc_pat_cul;711.0
Meyrin;depc_cula;6792.0
Meyrin;depc_med;545.0
Meyrin;depc_spo;18741.0
Meyrin;depc_egl;0.0
Meyrin;depic_t;3458.0
Meyrin;depic_pat_cul;54.0
Meyrin;depic_cula;340.0
Meyrin;depic_med;45.0
Meyrin;depic_spo;3019.0
Meyrin;depic_egl;0.0
Montreux;depc_t;24928.0
Montreux;depc_pat_cul;85.0
