nom;canton
Montbovon;Fribourg
Neirivue;Fribourg
Heitenried;Fribourg
Henniez;Vaud
Euseigne;Valais
Hérémence;Valais
Hermance;Genève
Hermenches;Vaud
Icogne;Valais
Inden;Valais
Isérables;Valais
Im Fang;Fribourg
Jaun;Fribourg
Jongny;Vaud
Montaubion-Chardonney;Vaud
Peney-le-Jorat;Vaud
Sottens;Vaud
Villars-Mendraz;Vaud
Villars-Tiercelin;Vaud
Carrouge VD;Vaud
Ferlens VD;Vaud
Mézières VD;Vaud
Jouxtens-Mézery;Vaud
Juriens;Vaud
Jussy;Genève
Kerzers;Fribourg
Kippel;Valais
Kleinbösingen;Fribourg
Asuel;Jura
Charmoille;Jura
Fregiécourt;Jura
Miécourt;Jura
Pleujouse;Jura
La Brévine;Neuchâtel
La Châtagne;Neuchâtel
Le Brouillet;Neuchâtel
Les Taillères;Neuchâtel
Lentigny;Fribourg
Lovens;Fribourg
Onnens FR;Fribourg
La Chaux (Cossonay);Vaud
La Chaux-de-Fonds;Neuchâtel
La Cibourg;Neuchâtel
Le Crêt-du-Locle;Neuchâtel
La Chaux-des-Breuleux;Jura
La Chaux-du-Milieu;Neuchâtel
La Côte-aux-Fées;Neuchâtel
Bevaix;Neuchâtel
Chez-le-Bart;Neuchâtel
Fresens;Neuchâtel
Gorgier;Neuchâtel
Montalchez;Neuchâtel
St-Aubin-Sauges;Neuchâtel
Vaumarcus;Neuchâtel
La Praz;Vaud
La Rippe;Vaud
La Roche FR;Fribourg
La Sagne NE;Neuchâtel
La Sarraz;Vaud
Cormagens;Fribourg
Formangueires;Fribourg
La Corbaz;Fribourg
Lossy;Fribourg
Marin-Epagnier;Neuchâtel
Thielle;Neuchâtel
Wavre;Neuchâtel
La Tour-de-Peilz;Vaud
Grattavache;Fribourg
La Verrerie;Fribourg
Le Crêt-près-Semsales;Fribourg
Progens;Fribourg
L'Abbaye;Vaud
Le Pont;Vaud
Les Bioux;Vaud
L'Abergement;Vaud
Laconnex;Genève
Fornet-Dessus;Jura
Lajoux JU;Jura
Lalden;Valais
Grand-Lancy;Genève
Petit-Lancy;Genève
Lausanne;Vaud
Lausanne 25;Vaud
Lausanne 26;Vaud
Lausanne 27;Vaud
Lavey-les-Bains;Vaud
Lavey-Village;Vaud
Morcles;Vaud
Lavigny;Vaud
Lax;Valais
Le Bémont JU;Jura
Le Cerneux-Péquignot;Neuchâtel
Le Châtelard-près-Romont;Fribourg
Le Brassus;Vaud
Le Sentier;Vaud
Le Solliat;Vaud
L'Orient;Vaud
Bouloz;Fribourg
Pont (Veveyse);Fribourg
Porsel;Fribourg
Le Grand-Saconnex;Genève
Le Landeron;Neuchâtel
Le Lieu;Vaud
Le Séchey;Vaud
Les Charbonnières;Vaud
Le Locle;Neuchâtel
Le Prévoux;Neuchâtel
Les Brenets;Neuchâtel
Le Mont-sur-Lausanne;Vaud
Bonnefontaine;Fribourg
Essert FR;Fribourg
Le Mouret;Fribourg
Montévraz;Fribourg
Oberried FR;Fribourg
Zénauva;Fribourg
Le Noirmont;Jura
Le Pâquier-Montbarry;Fribourg
Le Vaud;Vaud
Flanthey;Valais
Lens;Valais
Les Bois;Jura
Les Breuleux;Jura
La Russille;Vaud
Les Clées;Vaud
Les Enfers;Jura
Le Prédame;Jura
Les Genevez JU;Jura
Aumont;Fribourg
Frasses;Fribourg
Granges-de-Vesin;Fribourg
Montet (Broye);Fribourg
Les Planchettes;Neuchâtel
Les Ponts-de-Martel;Neuchâtel
Petit-Martel;Neuchâtel
Les Verrières;Neuchâtel
Erschmatt;Valais
Leuk Stadt;Valais
Susten;Valais
Leukerbad;Valais
Leysin;Vaud
Dugny (Leytron);Valais
Leytron;Valais
Montagnon (Leytron);Valais
Ovronnaz;Valais
Produit (Leytron);Valais
Chandonne (Liddes);Valais
Chez Petit (Liddes);Valais
Dranse (Liddes);Valais
Fontaine Dessous (Liddes);Valais
